	Treatment	Unassigned	Bacteroidetes	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia
441	ADI1x	1.290654611	35.4147956	62.68908241	0	0.576203114	0.029264256
442	ADI1x	1.361324593	49.62590416	48.50531193	0	0.507459313	0
443	ADI1x	1.53642347	42.29159803	55.80329294	0	0.367283713	0.001401846
482	ADI2x	0.295213956	62.65454003	37.04786044	0	0.001192784	0.001192784
483	ADI2x	0.326567164	64.54447761	35.12895522	0	0	0
484	ADI2x	0.513860189	68.70677219	30.77936762	0	0	0
491	Ctrl	1.574556388	28.42078516	18.43772498	0	0.332020497	51.23491297
492	Ctrl	2.174474666	28.67388338	12.661148	0	0.025834622	56.46465933
493	Ctrl	1.545181721	22.64471407	23.5289244	0	0.269267592	52.01191221
